"id_1","label_1","id_2","label_2","id_3","label_3","id_4","label_4","id_5","label_5"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.11","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","01.11Z","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.12","Culture du riz","01.12Z","Culture du riz"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.13","Culture de légumes, de melons, de racines et de tubercules","01.13Z","Culture de légumes, de melons, de racines et de tubercules"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.14","Culture de la canne à sucre","01.14Z","Culture de la canne à sucre"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.15","Culture du tabac","01.15Z","Culture du tabac"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.16","Culture de plantes à fibres","01.16Z","Culture de plantes à fibres"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.1","Cultures non permanentes","01.19","Autres cultures non permanentes","01.19Z","Autres cultures non permanentes"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.21","Culture de la vigne","01.21Z","Culture de la vigne"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.22","Culture de fruits tropicaux et subtropicaux","01.22Z","Culture de fruits tropicaux et subtropicaux"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.23","Culture d'agrumes","01.23Z","Culture d'agrumes"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.24","Culture de fruits à pépins et à noyau","01.24Z","Culture de fruits à pépins et à noyau"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.25","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","01.25Z","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.26","Culture de fruits oléagineux","01.26Z","Culture de fruits oléagineux"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.27","Culture de plantes à boissons","01.27Z","Culture de plantes à boissons"
"A","Agriculture, sylviculture et pêche","01","Culture et production animale, chasse et services annexes","01.2","Cultures permanentes","01.28","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","01.28Z","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
